Id;X;Y;Z
170;0.578795;0.269677;-0.769591
171;0.630432;0.0952713;-0.770376
172;0.326423;0.854686;-0.403682
173;0.456096;0.738;-0.497325
174;0.57735;0.57735;-0.57735
175;0.671518;0.389614;-0.630289
176;0.730105;0.201841;-0.652845
177;0.499914;0.809032;-0.309118
178;0.630289;0.671518;-0.389614
179;0.738;0.497325;-0.456096
180;0.809032;0.309118;-0.499914
181;0.652845;0.730105;-0.201841
182;0.769591;0.578795;-0.269677
183;0.854686;0.403682;-0.326423
184;0.770376;0.630432;-0.0952713
185;0.865647;0.476357;-0.154075
186;0.850533;0.525921;0
187;0.0952713;0.770376;0.630432
188;0.201841;0.652845;0.730105
189;0.309118;0.499914;0.809032
190;0.403682;0.326423;0.854686
191;0.476357;0.154075;0.865647
192;0.154075;0.865647;0.476357
193;0.269677;0.769591;0.578795
194;0.389614;0.630289;0.671518
195;0.497325;0.456096;0.738
196;0.578795;0.269677;0.769591
197;0.630432;0.0952713;0.770376
198;0.326423;0.854686;0.403682
199;0.456096;0.738;0.497325
200;0.57735;0.57735;0.57735
201;0.671518;0.389614;0.630289
202;0.730105;0.201841;0.652845
203;0.499914;0.809032;0.309118
204;0.630289;0.671518;0.389614
205;0.738;0.497325;0.456096
206;0.809032;0.309118;0.499914
207;0.652845;0.730105;0.201841
208;0.769591;0.578795;0.269677
209;0.854686;0.403682;0.326423
210;0.770376;0.630432;0.0952713
211;0.865647;0.476357;0.154075
212;-0.381117;0;-0.924527
213;-0.309142;-0.166651;-0.936301
214;-0.215435;-0.348407;-0.91225
215;-0.107715;-0.5226;-0.845746
216;0;-0.666564;-0.745448
217;-0.201871;0;-0.979412
218;-0.107724;-0.174215;-0.978798
219;0;-0.356785;-0.934186
220;0.107715;-0.5226;-0.845746
221;0;0;-1
222;0.107724;-0.174215;-0.978798
223;0.215435;-0.348407;-0.91225
224;0.201871;0;-0.979412
225;0.309142;-0.166651;-0.936301
226;0.381117;0;-0.924527
227;-0.666564;-0.745448;0
228;-0.5226;-0.845746;0.107715
229;-0.348407;-0.91225;0.215435
230;-0.166651;-0.936301;0.309142
231;0;-0.924527;0.381117
232;-0.5226;-0.845746;-0.107715
233;-0.356785;-0.934186;0
234;-0.174215;-0.978798;0.107724
235;-1.27845e-16;-0.979412;0.201871
236;-0.348407;-0.91225;-0.215435
237;-0.174215;-0.978798;-0.107724
238;-1.30533e-16;-1;0
239;-0.166651;-0.936301;-0.309142
240;-1.27845e-16;-0.979412;-0.201871
241;-6.03405e-17;-0.924527;-0.381117
242;-0.924527;-0.381117;0
243;-0.936301;-0.309142;-0.166651
244;-0.91225;-0.215435;-0.348407
245;-0.845746;-0.107715;-0.5226
246;-0.745448;0;-0.666564
247;-0.979412;-0.201871;0
248;-0.978798;-0.107724;-0.174215
249;-0.934186;0;-0.356785
250;-0.845746;0.107715;-0.5226
251;-1;0;0
252;-0.978798;0.107724;-0.174215
253;-0.91225;0.215435;-0.348407
254;-0.979412;0.201871;0
255;-0.936301;0.309142;-0.166651
256;-0.924527;0.381117;0
257;-0.381117;0;0.924527
258;-0.201871;0;0.979412
259;0;0;1
