Id;Origin;End
0;11;1
1;1;13
2;13;3
3;3;17
4;17;11
5;1;9
6;9;0
7;0;10
8;10;13
9;10;2
10;2;12
11;12;3
12;0;8
13;8;14
14;14;2
15;14;6
16;6;18
17;18;12
18;18;7
19;7;17
20;6;16
21;16;19
22;19;7
23;8;4
24;4;16
25;4;15
26;15;9
27;15;5
28;5;11
29;19;5
